name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
The Roof Gardens,"99 Kensington High Street, London, United Kingdom",1,1,0,0,0,0,0,0,0,0,1,0,51.5011463,-0.1914769
Amersham Arms,388 New Cross Rd.,0,1,1,1,1,0,0,0,0,0,1,0,51.4757315,-0.0325764
Jamm,"261 Brixton Road, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.4706805,-0.112081
Plan B,418 Brixton Road,0,1,1,1,1,0,0,0,0,0,0,0,51.4644457,-0.1145037
Pembury Tavern,90 Amhurst Rd.,0,1,1,1,0,0,0,0,0,0,1,0,51.5493377,-0.0592592
The Old Queen's Head,44 Essex Rd.,1,1,1,1,1,0,0,0,0,0,1,0,51.5747563,-0.0018095
Infernos Disco,"146 Clapham High Street, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.4626957,-0.1359223
Jazz Cafe,5 Parkway,0,1,1,1,0,0,0,0,0,0,1,0,-41.2479127,174.9447234
KOKO,1A Camden High St.,0,1,1,1,1,0,0,0,0,0,0,0,51.5347484,-0.1381645
Electric Ballroom,"184 Camden High Street, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.5397245,-0.142943
Club 414,"414-416 Coldharbour Lane, London, United Kingdom",0,1,1,1,0,0,0,0,0,0,0,0,51.5170221,-0.4080717
The Garage,"20-22 Highbury Crescent, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.5476086,-0.104437
Embargo 59,"533B King's Road, London, United Kingdom",0,1,1,1,0,0,0,0,0,0,0,0,51.4816503,-0.1818652
The Underworld,174 Camden High St.,0,1,1,1,0,0,0,0,0,0,0,0,51.5391316,-0.1422001
Dublin Castle,94 Parkway,0,1,1,1,0,0,0,0,0,0,0,0,-41.2442411,174.9375511
Coronet Theatre,28 New Kent Rd.,0,1,0,0,0,0,0,0,0,0,0,0,43.1649496,-73.7261257
The Lexington,96-98 Pentonville Rd.,0,1,1,1,0,0,0,0,0,0,1,0,51.5317739,-0.1114456
Area Club,"67 Albert Embankment, London, United Kingdom",0,1,1,1,0,0,0,0,0,0,0,0,51.4871752,-0.1232588
The Academy,Kingston Lane,0,1,1,1,0,0,0,0,0,0,0,0,51.5330234,-0.4678276
Pacha,"Terminus Place, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.4962096,-0.14419
Electrowerkz,"7 Torrens Street, London, United Kingdom",0,1,1,1,0,0,0,0,0,0,0,0,51.5325239,-0.1050459
National Portrait Gallery,"St. Martin's Place, London, United Kingdom",0,0,0,0,0,0,0,1,1,0,0,0,51.6107527,0.2215101
Natural History Museum,"Cromwell Road, London, United Kingdom",1,0,0,0,0,1,0,0,1,0,1,0,51.4948775,-0.1855369
London Canal Museum,"12-13 New Wharf Road, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.5342186,-0.1202069
London Transport Museum,"Covent Garden Piazza, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.5120077,-0.1218073
Museum of Fulham Palace,Bishops Avenue,0,0,0,0,0,1,0,0,1,0,0,0,51.4020271,0.0284012
Westminster Abbey,20 Dean's Yard,0,0,0,0,0,1,0,0,1,0,0,0,51.499399,-0.127391
Horse Guards Parade,Whitehall,0,0,0,0,0,1,0,0,0,0,0,0,51.5028204,-0.1259778
The Photographers' Gallery,"16-18 Ramillies Street, London, United Kingdom",0,0,0,0,0,0,0,1,0,0,1,0,51.514957,-0.1390442
Hackney City Farm,1 Goldsmiths Row,1,0,0,0,0,0,0,0,0,1,1,0,51.5317525,-0.0665747
Albert Memorial,"Kensington Gardens, London, United Kingdom",1,0,0,0,0,0,0,0,0,1,0,0,51.5066463,-0.1804266
Kensington Palace,"Kensington Gardens, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.5066463,-0.1804266
Battersea Power Station,188 Kirtling St,0,0,0,0,0,1,0,0,0,0,0,1,51.4810677,-0.1406001
Battersea Park,Albert Bridge Rd.,1,0,0,0,0,0,1,0,0,1,0,0,51.4798031,-0.1655751
Highgate Cemetery,Swain's Ln,0,0,0,0,0,1,0,0,0,1,0,0,51.5619646,-0.1490177
Victoria Park,360 Victoria Park Rd.,1,0,0,0,0,0,0,0,0,1,0,0,51.5416438,-0.0376889
Island Gardens,"London, United Kingdom",1,0,1,0,0,0,0,0,0,1,1,0,51.5074456,-0.1277653
Millennium Bridge,Millennium Bridge,1,0,0,0,0,1,0,0,0,1,0,0,51.5098883,-0.0985076
Holland Park Salon,"31 St Anns Road, London, United Kingdom",1,0,0,0,0,0,0,0,0,1,0,0,51.5088222,-0.2159824
Crystal Palace Park,"Thicket Road, London, Crystal Palace, United Kingdom",1,0,1,0,0,0,0,0,0,1,1,0,51.4186333,-0.0616281
Golders Hill Park,"London, United Kingdom",1,0,0,0,0,0,1,0,0,1,0,0,51.5074456,-0.1277653
Gunnersbury Park Museum,"Gunnersbury Park, Pope's Lane, London, United Kingdom",1,0,0,0,0,0,0,0,1,1,1,0,51.5009192,-0.2889801
Paddington Recreation Ground,"Randolph Avenue, London, United Kingdom",1,0,0,0,0,0,1,0,0,1,1,0,51.5245798,-0.1793179
Kenwood House,"Hampstead Lane, London, Hampstead, United Kingdom",1,0,0,0,0,1,0,0,0,1,1,0,51.5717006,-0.1728224
Eltham Palace and Gardens,"Court Yard, United Kingdom",1,0,0,0,0,1,0,1,0,0,0,0,56.7292585,-2.5408625
Royal Observatory Greenwich,"Blackheath Avenue, Greenwich, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.4746797,0.0019569
Big Ben,Parliament Sq.,0,0,0,0,0,1,0,0,0,0,0,0,51.5006049,-0.1268306
Tower of London Park,"London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.5074456,-0.1277653
The London Dungeon,"County Hall, Westminster Bridge Rd",0,0,0,0,0,1,0,0,0,0,0,0,51.5016258,-0.1194656
Madame Tussauds London,"Marylebone Road, London, United Kingdom",0,0,0,0,0,0,0,0,1,0,0,0,51.5219899,-0.1586096
Syon Park,"Syon Park, London Road, Brentford, United Kingdom",1,0,0,1,0,0,0,0,0,1,1,0,51.4796558,-0.3151652
Chiswick House & Gardens,Burlington Ln,1,0,1,0,0,0,0,0,0,1,1,0,51.4864574,-0.2522042
Ham House and Garden,"Ham Street, Ham, Richmond-upon-Thames, United Kingdom",1,0,0,0,0,1,0,0,0,0,0,0,51.4408303,-0.314458
Marble Hill Park,United Kingdom,1,0,0,1,0,0,0,0,0,1,0,0,54.7023545,-3.2765753
Osterley Park,Jersey Rd.,1,0,0,0,0,0,0,0,0,1,1,0,51.5651939,-0.0017949
Sutton House,"2-4 Homerton High Street, London, United Kingdom",0,0,1,0,0,1,0,0,1,0,0,0,51.5484579,-0.0504538
Somerset House,Strand,0,0,1,0,0,0,1,1,1,1,1,1,51.5134265,-0.1132218
Hoxton Square,"London, United Kingdom",0,0,1,0,0,0,0,0,0,1,0,0,51.5074456,-0.1277653
Soho Square Garden,"Soho Square, London, United Kingdom",1,0,1,0,0,0,1,0,0,1,1,0,51.514971,-0.1326034
